product_id,product_name,category,brand,store_id,store_name,store_location,base_price,discount_rate,promotion_type,day_of_year,month,day_of_week,season,is_holiday,avg_units_sold_30d,avg_customers_30d,profit_margin,profit_class
P100514,Samsung Home Item,Home,Samsung,S045,Amazon Store 45,UK,457.12,0.12,Seasonal,356,12,Tue,Fall,0,15,36,0.314,high
P100234,Samsung Electronics Item,Electronics,Samsung,S004,Amazon Store 4,EU,615.22,0.0,No Promotion,276,10,Sat,Fall,0,13,27,0.317,high
P100519,AmazonBasics Home Item,Home,AmazonBasics,S021,Amazon Store 21,UK,101.88,0.37,Flash Sale,239,8,Thu,Summer,0,103,132,0.037,low
P100121,Apple Electronics Item,Electronics,Apple,S019,Amazon Store 19,US-East,846.17,0.0,No Promotion,69,3,Tue,Winter,1,22,51,0.351,high
P101168,Apple Beauty Item,Beauty,Apple,S044,Amazon Store 44,Canada,46.31,0.4,Clearance,301,11,Fri,Fall,0,2,4,-0.032,loss
P100347,AmazonBasics Beauty Item,Beauty,AmazonBasics,S022,Amazon Store 22,UK,47.17,0.35,Flash Sale,6,1,Thu,Winter,1,11,22,0.065,low
P100073,LG Beauty Item,Beauty,LG,S043,Amazon Store 43,US-West,53.29,0.22,Holiday,220,8,Tue,Summer,0,38,71,0.035,low
P101028,LG Electronics Item,Electronics,LG,S038,Amazon Store 38,EU,1160.41,0.19,Holiday,254,9,Mon,Summer,0,29,69,0.218,medium
P100413,Samsung Home Item,Home,Samsung,S043,Amazon Store 43,US-West,375.04,0.0,No Promotion,295,10,Tue,Fall,0,69,129,0.396,high
P100873,AmazonBasics Beauty Item,Beauty,AmazonBasics,S009,Amazon Store 9,EU,117.35,0.14,Seasonal,358,12,Sat,Fall,0,6,7,0.08,low
P100906,Apple Grocery Item,Grocery,Apple,S047,Amazon Store 47,Canada,26.11,0.0,No Promotion,107,4,Fri,Spring,0,35,78,0.245,medium
P100743,LG Sports Item,Sports,LG,S048,Amazon Store 48,EU,209.47,0.1,Seasonal,295,10,Tue,Fall,0,7,10,0.385,high
P100805,Dell Fashion Item,Fashion,Dell,S039,Amazon Store 39,UK,102.25,0.19,Seasonal,118,4,Sun,Spring,0,18,26,0.226,medium
P100537,Apple Electronics Item,Electronics,Apple,S044,Amazon Store 44,Canada,136.47,0.3,Flash Sale,168,6,Wed,Spring,0,15,31,-0.041,loss
P100125,Apple Beauty Item,Beauty,Apple,S007,Amazon Store 7,US-East,27.46,0.14,Holiday,251,9,Sat,Summer,0,19,45,0.382,high
P100479,Samsung Beauty Item,Beauty,Samsung,S021,Amazon Store 21,UK,18.76,0.23,Flash Sale,82,3,Sun,Spring,0,7,16,0.288,medium
P101106,Sony Fashion Item,Fashion,Sony,S022,Amazon Store 22,UK,256.47,0.39,Clearance,54,2,Sun,Winter,0,7,8,0.033,low
P100932,Dell Electronics Item,Electronics,Dell,S011,Amazon Store 11,US-West,1026.95,0.2,Seasonal,240,8,Wed,Summer,0,7,8,0.105,low
P101038,Samsung Grocery Item,Grocery,Samsung,S042,Amazon Store 42,US-East,39.81,0.0,No Promotion,12,1,Thu,Winter,0,8,12,0.237,medium
P101065,Nike Sports Item,Sports,Nike,S017,Amazon Store 17,US-East,141.25,0.06,Seasonal,209,7,Wed,Summer,0,57,88,0.226,medium
P101170,Apple Sports Item,Sports,Apple,S012,Amazon Store 12,Canada,299.4,0.12,Holiday,165,6,Fri,Spring,0,11,24,0.287,medium
P100959,Dell Sports Item,Sports,Dell,S014,Amazon Store 14,US-East,53.64,0.0,No Promotion,294,10,Mon,Fall,0,17,31,0.362,high
P101132,Adidas Fashion Item,Fashion,Adidas,S002,Amazon Store 2,US-East,170.18,0.0,No Promotion,7,1,Mon,Winter,0,21,26,0.338,high
P100994,L'Oreal Sports Item,Sports,L'Oreal,S006,Amazon Store 6,US-East,235.49,0.0,No Promotion,78,3,Thu,Winter,0,43,102,0.458,high
P101029,Adidas Home Item,Home,Adidas,S040,Amazon Store 40,EU,282.49,0.23,Holiday,65,3,Thu,Winter,0,26,40,0.011,low
P100218,Samsung Home Item,Home,Samsung,S049,Amazon Store 49,US-East,378.67,0.11,Seasonal,102,4,Wed,Spring,0,10,15,0.175,medium
P100722,L'Oreal Sports Item,Sports,L'Oreal,S014,Amazon Store 14,US-East,80.49,0.0,No Promotion,357,12,Sun,Fall,0,35,72,0.334,high
P100911,Samsung Electronics Item,Electronics,Samsung,S023,Amazon Store 23,Canada,863.94,0.16,Holiday,300,10,Fri,Fall,1,16,34,0.329,high
P100423,Nike Grocery Item,Grocery,Nike,S037,Amazon Store 37,EU,30.09,0.32,Clearance,287,10,Wed,Fall,0,39,75,-0.097,loss
P100738,Samsung Home Item,Home,Samsung,S014,Amazon Store 14,US-East,485.41,0.51,Clearance,171,6,Fri,Spring,0,43,99,-0.405,loss
P100089,Adidas Sports Item,Sports,Adidas,S022,Amazon Store 22,UK,220.29,0.25,Holiday,77,3,Fri,Winter,0,23,51,0.14,low
P100162,Sony Sports Item,Sports,Sony,S038,Amazon Store 38,EU,309.5,0.44,Clearance,48,2,Mon,Winter,0,37,69,-0.273,loss
P100415,LG Fashion Item,Fashion,LG,S047,Amazon Store 47,Canada,189.93,0.27,Holiday,255,9,Sun,Summer,0,13,23,0.283,medium
P100185,Samsung Beauty Item,Beauty,Samsung,S027,Amazon Store 27,UK,29.79,0.26,Flash Sale,82,3,Fri,Spring,0,45,105,-0.065,loss
P100437,Samsung Sports Item,Sports,Samsung,S014,Amazon Store 14,US-East,50.69,0.0,No Promotion,209,7,Tue,Summer,0,12,29,0.447,high
P101104,Adidas Sports Item,Sports,Adidas,S046,Amazon Store 46,EU,240.19,0.0,No Promotion,209,7,Fri,Summer,0,6,14,0.304,high
P100888,Samsung Beauty Item,Beauty,Samsung,S028,Amazon Store 28,Canada,36.43,0.29,Flash Sale,84,3,Mon,Spring,0,14,25,-0.092,loss
P100839,Samsung Sports Item,Sports,Samsung,S009,Amazon Store 9,EU,195.23,0.0,No Promotion,10,1,Sat,Winter,0,12,22,0.252,medium
P100160,Nike Home Item,Home,Nike,S049,Amazon Store 49,US-East,25.3,0.0,No Promotion,29,1,Wed,Winter,0,8,17,0.245,medium
P100952,LG Sports Item,Sports,LG,S008,Amazon Store 8,US-West,310.87,0.35,Clearance,304,11,Fri,Fall,0,35,64,0.149,low
P100105,L'Oreal Beauty Item,Beauty,L'Oreal,S032,Amazon Store 32,US-West,198.56,0.0,No Promotion,116,4,Tue,Spring,0,22,50,0.265,medium
P100777,AmazonBasics Fashion Item,Fashion,AmazonBasics,S023,Amazon Store 23,Canada,195.28,0.08,Seasonal,269,9,Thu,Fall,0,19,37,0.312,high
P100924,HP Electronics Item,Electronics,HP,S039,Amazon Store 39,UK,1126.68,0.2,Flash Sale,47,2,Wed,Winter,0,27,62,0.069,low
P100058,AmazonBasics Beauty Item,Beauty,AmazonBasics,S022,Amazon Store 22,UK,97.77,0.1,Seasonal,359,12,Thu,Fall,0,28,52,0.149,low
P100156,Nike Fashion Item,Fashion,Nike,S021,Amazon Store 21,UK,164.39,0.56,Clearance,91,4,Tue,Spring,0,9,16,-0.262,loss
P100251,Dell Fashion Item,Fashion,Dell,S009,Amazon Store 9,EU,149.54,0.11,Holiday,53,2,Mon,Winter,0,32,78,0.399,high
P101160,Samsung Grocery Item,Grocery,Samsung,S024,Amazon Store 24,EU,15.76,0.0,No Promotion,218,8,Sat,Summer,0,17,21,0.419,high
P100173,AmazonBasics Grocery Item,Grocery,AmazonBasics,S043,Amazon Store 43,US-West,7.24,0.0,No Promotion,348,12,Sun,Fall,0,47,72,0.323,high
P100220,AmazonBasics Grocery Item,Grocery,AmazonBasics,S004,Amazon Store 4,EU,38.11,0.0,No Promotion,77,3,Mon,Winter,0,28,61,0.375,high
P100038,HP Beauty Item,Beauty,HP,S002,Amazon Store 2,US-East,166.78,0.33,Flash Sale,204,7,Sat,Summer,0,37,60,-0.031,loss
P100718,Sony Electronics Item,Electronics,Sony,S044,Amazon Store 44,Canada,542.67,0.0,No Promotion,44,2,Sun,Winter,0,15,29,0.394,high
P100214,AmazonBasics Electronics Item,Electronics,AmazonBasics,S021,Amazon Store 21,UK,784.56,0.24,Flash Sale,156,6,Wed,Spring,0,16,36,0.032,low
P101107,Dell Grocery Item,Grocery,Dell,S035,Amazon Store 35,US-West,36.28,0.12,Seasonal,2,1,Fri,Winter,0,51,81,0.134,low
P100673,LG Home Item,Home,LG,S031,Amazon Store 31,EU,120.25,0.0,No Promotion,357,12,Fri,Fall,0,11,19,0.257,medium
P100194,Adidas Electronics Item,Electronics,Adidas,S017,Amazon Store 17,US-East,983.82,0.08,Seasonal,313,11,Thu,Fall,0,16,19,0.332,high
P100683,Nike Home Item,Home,Nike,S026,Amazon Store 26,US-East,199.91,0.0,No Promotion,57,2,Mon,Winter,0,49,63,0.473,high
P100023,HP Home Item,Home,HP,S042,Amazon Store 42,US-East,409.13,0.0,No Promotion,290,10,Fri,Fall,1,11,20,0.477,high
P100388,Nike Electronics Item,Electronics,Nike,S039,Amazon Store 39,UK,212.1,0.18,Holiday,58,2,Sat,Winter,0,13,23,0.184,medium
P100817,AmazonBasics Electronics Item,Electronics,AmazonBasics,S041,Amazon Store 41,US-West,759.13,0.0,No Promotion,254,9,Sun,Summer,0,5,8,0.216,medium
P100060,Adidas Beauty Item,Beauty,Adidas,S023,Amazon Store 23,Canada,194.44,0.13,Seasonal,180,6,Fri,Summer,0,33,78,0.38,high
P100254,HP Home Item,Home,HP,S002,Amazon Store 2,US-East,41.41,0.25,Flash Sale,157,6,Mon,Spring,0,23,35,0.245,medium
P100886,Dell Fashion Item,Fashion,Dell,S011,Amazon Store 11,US-West,255.61,0.33,Flash Sale,35,2,Mon,Winter,0,22,29,0.075,low
P100807,LG Sports Item,Sports,LG,S033,Amazon Store 33,UK,262.03,0.0,No Promotion,75,3,Tue,Winter,0,8,9,0.355,high
P100227,LG Sports Item,Sports,LG,S042,Amazon Store 42,US-East,244.93,0.0,No Promotion,289,10,Sun,Fall,0,21,42,0.457,high
P100313,L'Oreal Beauty Item,Beauty,L'Oreal,S019,Amazon Store 19,US-East,97.43,0.16,Seasonal,75,3,Thu,Winter,0,15,30,0.362,high
P100366,AmazonBasics Fashion Item,Fashion,AmazonBasics,S042,Amazon Store 42,US-East,185.46,0.42,Clearance,329,11,Sun,Fall,0,11,14,-0.089,loss
P101053,L'Oreal Beauty Item,Beauty,L'Oreal,S019,Amazon Store 19,US-East,12.48,0.35,Clearance,78,3,Mon,Winter,0,25,44,-0.189,loss
P100168,LG Beauty Item,Beauty,LG,S037,Amazon Store 37,EU,33.7,0.11,Seasonal,255,9,Sun,Summer,1,82,188,0.358,high
P101110,Adidas Beauty Item,Beauty,Adidas,S000,Amazon Store 0,Canada,15.23,0.15,Seasonal,265,9,Tue,Fall,0,14,24,0.249,medium
P100789,Nike Fashion Item,Fashion,Nike,S028,Amazon Store 28,Canada,27.59,0.17,Holiday,304,11,Sun,Fall,0,25,45,0.202,medium
P101130,Samsung Grocery Item,Grocery,Samsung,S006,Amazon Store 6,US-East,33.28,0.0,No Promotion,67,3,Mon,Winter,0,56,91,0.357,high
P101015,Sony Grocery Item,Grocery,Sony,S034,Amazon Store 34,UK,28.22,0.0,No Promotion,221,8,Wed,Summer,1,28,61,0.375,high
P100114,LG Home Item,Home,LG,S006,Amazon Store 6,US-East,379.13,0.15,Seasonal,164,6,Sat,Spring,0,19,45,0.084,low
P100239,Nike Grocery Item,Grocery,Nike,S049,Amazon Store 49,US-East,28.83,0.0,No Promotion,220,8,Sat,Summer,1,21,25,0.451,high
P100383,Sony Home Item,Home,Sony,S011,Amazon Store 11,US-West,498.6,0.0,No Promotion,172,6,Wed,Summer,0,87,175,0.241,medium
P100320,Apple Fashion Item,Fashion,Apple,S021,Amazon Store 21,UK,241.29,0.0,No Promotion,254,9,Wed,Summer,0,41,99,0.486,high
P100828,AmazonBasics Home Item,Home,AmazonBasics,S001,Amazon Store 1,US-East,299.96,0.35,Flash Sale,210,7,Mon,Summer,0,16,25,0.077,low
P100543,Adidas Beauty Item,Beauty,Adidas,S031,Amazon Store 31,EU,99.86,0.4,Flash Sale,188,7,Fri,Summer,0,41,71,0.114,low
P101078,AmazonBasics Sports Item,Sports,AmazonBasics,S027,Amazon Store 27,UK,42.27,0.0,No Promotion,191,7,Fri,Summer,0,11,19,0.373,high
P100518,L'Oreal Beauty Item,Beauty,L'Oreal,S017,Amazon Store 17,US-East,41.32,0.13,Seasonal,215,8,Wed,Summer,0,13,26,0.085,low
P100394,HP Home Item,Home,HP,S030,Amazon Store 30,US-East,181.68,0.09,Seasonal,86,3,Thu,Spring,1,104,186,0.365,high
P100969,Samsung Electronics Item,Electronics,Samsung,S049,Amazon Store 49,US-East,890.32,0.08,Seasonal,106,4,Sat,Spring,0,6,14,0.376,high
P100640,LG Beauty Item,Beauty,LG,S039,Amazon Store 39,UK,179.03,0.0,No Promotion,332,12,Tue,Fall,1,13,16,0.428,high
P100991,HP Home Item,Home,HP,S030,Amazon Store 30,US-East,274.75,0.4,Clearance,296,10,Wed,Fall,0,25,52,-0.022,loss
P100728,LG Beauty Item,Beauty,LG,S024,Amazon Store 24,EU,123.83,0.0,No Promotion,19,1,Sat,Winter,0,7,14,0.472,high
P100924,HP Electronics Item,Electronics,HP,S019,Amazon Store 19,US-East,1126.68,0.0,No Promotion,47,2,Tue,Winter,0,49,84,0.4,high
P101129,HP Fashion Item,Fashion,HP,S043,Amazon Store 43,US-West,232.49,0.26,Flash Sale,65,3,Sun,Winter,0,17,34,0.165,medium
P100566,Nike Sports Item,Sports,Nike,S037,Amazon Store 37,EU,240.54,0.12,Holiday,146,5,Tue,Spring,1,17,40,0.117,low
P100291,HP Electronics Item,Electronics,HP,S017,Amazon Store 17,US-East,339.88,0.0,No Promotion,286,10,Wed,Fall,0,33,68,0.226,medium
P100861,AmazonBasics Grocery Item,Grocery,AmazonBasics,S006,Amazon Store 6,US-East,31.75,0.0,No Promotion,66,3,Fri,Winter,0,25,47,0.496,high
P100942,Dell Home Item,Home,Dell,S047,Amazon Store 47,Canada,475.45,0.0,No Promotion,5,1,Thu,Winter,1,26,57,0.411,high
P100461,LG Beauty Item,Beauty,LG,S030,Amazon Store 30,US-East,193.59,0.15,Seasonal,93,4,Sat,Spring,0,34,65,0.092,low
P100099,Apple Sports Item,Sports,Apple,S031,Amazon Store 31,EU,86.38,0.36,Clearance,353,12,Wed,Fall,1,23,34,0.166,medium
P101068,LG Electronics Item,Electronics,LG,S024,Amazon Store 24,EU,1189.52,0.28,Flash Sale,94,4,Tue,Spring,0,21,31,0.019,low
P100506,AmazonBasics Grocery Item,Grocery,AmazonBasics,S008,Amazon Store 8,US-West,21.96,0.0,No Promotion,106,4,Sat,Spring,0,20,44,0.457,high
P101183,Sony Grocery Item,Grocery,Sony,S046,Amazon Store 46,EU,10.38,0.2,Flash Sale,133,5,Mon,Spring,0,7,11,0.176,medium
P100127,LG Fashion Item,Fashion,LG,S008,Amazon Store 8,US-West,154.19,0.0,No Promotion,341,12,Sun,Fall,0,8,11,0.462,high
P100629,AmazonBasics Home Item,Home,AmazonBasics,S028,Amazon Store 28,Canada,213.87,0.0,No Promotion,314,11,Mon,Fall,0,92,183,0.412,high
P100264,Apple Beauty Item,Beauty,Apple,S028,Amazon Store 28,Canada,39.71,0.0,No Promotion,79,3,Sat,Winter,0,14,20,0.473,high
P100659,Apple Grocery Item,Grocery,Apple,S044,Amazon Store 44,Canada,5.85,0.0,No Promotion,212,8,Sat,Summer,0,7,14,0.313,high
P100544,Apple Grocery Item,Grocery,Apple,S029,Amazon Store 29,US-East,25.66,0.44,Clearance,8,1,Tue,Winter,0,36,80,-0.129,loss
P100891,Dell Fashion Item,Fashion,Dell,S046,Amazon Store 46,EU,67.1,0.14,Holiday,159,6,Wed,Spring,0,17,26,0.357,high
P101004,LG Beauty Item,Beauty,LG,S048,Amazon Store 48,EU,110.18,0.0,No Promotion,268,9,Fri,Fall,0,6,14,0.415,high
P100035,HP Grocery Item,Grocery,HP,S024,Amazon Store 24,EU,37.35,0.24,Flash Sale,149,5,Wed,Spring,0,25,35,0.001,low
P101136,Adidas Sports Item,Sports,Adidas,S017,Amazon Store 17,US-East,247.68,0.17,Seasonal,350,12,Thu,Fall,0,19,30,0.2,medium
P100513,Samsung Fashion Item,Fashion,Samsung,S042,Amazon Store 42,US-East,38.43,0.36,Clearance,91,4,Sat,Spring,0,16,25,-0.127,loss
P100065,L'Oreal Beauty Item,Beauty,L'Oreal,S037,Amazon Store 37,EU,114.43,0.26,Flash Sale,236,8,Mon,Summer,0,7,10,0.107,low
P100361,Samsung Sports Item,Sports,Samsung,S014,Amazon Store 14,US-East,255.05,0.0,No Promotion,289,10,Tue,Fall,0,17,29,0.469,high
P100872,HP Beauty Item,Beauty,HP,S029,Amazon Store 29,US-East,34.69,0.41,Clearance,356,12,Fri,Fall,0,48,78,-0.313,loss
P101046,Sony Electronics Item,Electronics,Sony,S002,Amazon Store 2,US-East,1433.29,0.16,Seasonal,168,6,Sun,Spring,0,31,61,0.163,medium
P100928,L'Oreal Sports Item,Sports,L'Oreal,S043,Amazon Store 43,US-West,200.56,0.14,Holiday,193,7,Wed,Summer,0,21,50,0.105,low
P100640,LG Beauty Item,Beauty,LG,S022,Amazon Store 22,UK,179.03,0.13,Seasonal,187,7,Thu,Summer,0,7,10,0.415,high
P101059,Sony Home Item,Home,Sony,S002,Amazon Store 2,US-East,209.7,0.0,No Promotion,271,10,Wed,Fall,0,10,17,0.495,high
P100934,Sony Fashion Item,Fashion,Sony,S037,Amazon Store 37,EU,237.87,0.43,Clearance,114,4,Sun,Spring,0,21,49,-0.307,loss
P100995,Nike Grocery Item,Grocery,Nike,S026,Amazon Store 26,US-East,31.52,0.54,Clearance,11,1,Thu,Winter,0,16,26,-0.5,loss
P100444,Adidas Beauty Item,Beauty,Adidas,S014,Amazon Store 14,US-East,21.23,0.26,Holiday,55,2,Wed,Winter,0,17,33,0.215,medium
P100418,Adidas Grocery Item,Grocery,Adidas,S038,Amazon Store 38,EU,30.05,0.5,Clearance,258,9,Fri,Summer,0,19,35,-0.053,loss
P101132,Adidas Fashion Item,Fashion,Adidas,S049,Amazon Store 49,US-East,170.18,0.0,No Promotion,65,3,Fri,Winter,1,19,24,0.254,medium
P100853,Adidas Fashion Item,Fashion,Adidas,S043,Amazon Store 43,US-West,60.21,0.53,Clearance,172,6,Tue,Summer,0,11,25,-0.177,loss
P101066,Sony Home Item,Home,Sony,S019,Amazon Store 19,US-East,131.38,0.19,Seasonal,272,10,Fri,Fall,0,23,56,0.267,medium
P100470,Nike Electronics Item,Electronics,Nike,S028,Amazon Store 28,Canada,874.04,0.09,Seasonal,150,5,Thu,Spring,0,9,15,0.403,high
P100231,LG Beauty Item,Beauty,LG,S037,Amazon Store 37,EU,20.67,0.0,No Promotion,362,13,Tue,Fall,0,20,35,0.282,medium
P100450,Apple Fashion Item,Fashion,Apple,S000,Amazon Store 0,Canada,126.08,0.32,Flash Sale,146,5,Sun,Spring,0,31,52,-0.069,loss
P100138,AmazonBasics Fashion Item,Fashion,AmazonBasics,S044,Amazon Store 44,Canada,264.98,0.48,Clearance,209,7,Fri,Summer,0,17,40,-0.5,loss
P100668,Adidas Fashion Item,Fashion,Adidas,S026,Amazon Store 26,US-East,80.12,0.28,Flash Sale,286,10,Mon,Fall,0,14,29,-0.066,loss
P100820,Dell Beauty Item,Beauty,Dell,S005,Amazon Store 5,UK,136.7,0.0,No Promotion,10,1,Sun,Winter,0,9,21,0.291,medium
P101064,Adidas Home Item,Home,Adidas,S042,Amazon Store 42,US-East,391.08,0.0,No Promotion,227,8,Thu,Summer,0,45,93,0.493,high
P100345,L'Oreal Sports Item,Sports,L'Oreal,S027,Amazon Store 27,UK,60.03,0.21,Flash Sale,186,7,Sun,Summer,0,32,55,0.113,low
P100805,Dell Fashion Item,Fashion,Dell,S043,Amazon Store 43,US-West,102.25,0.19,Seasonal,62,3,Sun,Winter,0,36,54,0.035,low
P100386,Sony Home Item,Home,Sony,S026,Amazon Store 26,US-East,82.32,0.13,Seasonal,85,3,Tue,Spring,0,35,58,0.408,high
P100084,Samsung Grocery Item,Grocery,Samsung,S001,Amazon Store 1,US-East,6.76,0.08,Seasonal,134,5,Thu,Spring,0,26,58,0.235,medium
P100555,LG Home Item,Home,LG,S030,Amazon Store 30,US-East,242.17,0.38,Clearance,323,11,Tue,Fall,0,22,44,-0.082,loss
P100133,L'Oreal Fashion Item,Fashion,L'Oreal,S034,Amazon Store 34,UK,189.4,0.16,Seasonal,297,10,Thu,Fall,0,36,58,0.269,medium
P100932,Dell Electronics Item,Electronics,Dell,S006,Amazon Store 6,US-East,1026.95,0.15,Seasonal,171,6,Mon,Spring,0,18,37,0.072,low
P100462,AmazonBasics Sports Item,Sports,AmazonBasics,S036,Amazon Store 36,US-East,72.8,0.15,Seasonal,213,8,Sun,Summer,0,21,35,0.109,low
P100119,Nike Beauty Item,Beauty,Nike,S018,Amazon Store 18,Canada,153.11,0.09,Seasonal,18,1,Fri,Winter,0,21,39,0.249,medium
P101100,L'Oreal Grocery Item,Grocery,L'Oreal,S045,Amazon Store 45,UK,12.47,0.37,Flash Sale,314,11,Wed,Fall,0,10,16,0.141,low
P100358,AmazonBasics Fashion Item,Fashion,AmazonBasics,S044,Amazon Store 44,Canada,142.57,0.0,No Promotion,60,2,Sun,Winter,0,33,40,0.488,high
P100028,LG Electronics Item,Electronics,LG,S046,Amazon Store 46,EU,269.07,0.28,Flash Sale,88,3,Wed,Spring,0,14,21,0.005,low
P100221,Apple Sports Item,Sports,Apple,S010,Amazon Store 10,US-East,101.1,0.0,No Promotion,27,1,Wed,Winter,0,13,29,0.234,medium
P100613,AmazonBasics Sports Item,Sports,AmazonBasics,S015,Amazon Store 15,US-West,335.88,0.0,No Promotion,68,3,Sun,Winter,0,39,52,0.312,high
P100972,Dell Electronics Item,Electronics,Dell,S007,Amazon Store 7,US-East,858.7,0.25,Flash Sale,278,10,Tue,Fall,0,11,18,0.024,low
P100821,Dell Home Item,Home,Dell,S023,Amazon Store 23,Canada,121.33,0.0,No Promotion,40,2,Fri,Winter,0,9,19,0.333,high
P100178,L'Oreal Grocery Item,Grocery,L'Oreal,S028,Amazon Store 28,Canada,8.34,0.3,Flash Sale,109,4,Sun,Spring,0,39,85,0.152,medium
P100754,Nike Beauty Item,Beauty,Nike,S022,Amazon Store 22,UK,96.64,0.0,No Promotion,74,3,Sat,Winter,0,9,17,0.337,high
P100011,Apple Fashion Item,Fashion,Apple,S014,Amazon Store 14,US-East,33.42,0.3,Flash Sale,66,3,Tue,Winter,1,15,32,0.018,low
P100784,AmazonBasics Electronics Item,Electronics,AmazonBasics,S003,Amazon Store 3,US-East,1486.58,0.39,Flash Sale,168,6,Sun,Spring,1,9,12,0.123,low
P100147,Nike Sports Item,Sports,Nike,S039,Amazon Store 39,UK,354.93,0.24,Flash Sale,262,9,Sun,Summer,1,8,18,0.174,medium
P100103,Samsung Electronics Item,Electronics,Samsung,S003,Amazon Store 3,US-East,784.39,0.42,Clearance,274,10,Tue,Fall,0,16,28,-0.374,loss
P100973,AmazonBasics Beauty Item,Beauty,AmazonBasics,S026,Amazon Store 26,US-East,177.06,0.2,Seasonal,337,12,Sun,Fall,0,14,21,0.249,medium
P100113,Apple Sports Item,Sports,Apple,S014,Amazon Store 14,US-East,391.9,0.54,Clearance,358,12,Tue,Fall,0,40,64,-0.498,loss
P100363,Samsung Electronics Item,Electronics,Samsung,S031,Amazon Store 31,EU,1354.0,0.0,No Promotion,237,8,Sun,Summer,0,16,26,0.283,medium
P100614,HP Sports Item,Sports,HP,S046,Amazon Store 46,EU,396.72,0.0,No Promotion,215,8,Sat,Summer,0,38,49,0.273,medium
P100901,L'Oreal Sports Item,Sports,L'Oreal,S044,Amazon Store 44,Canada,211.96,0.13,Holiday,286,10,Sun,Fall,0,39,62,0.31,high
P100493,L'Oreal Beauty Item,Beauty,L'Oreal,S001,Amazon Store 1,US-East,128.97,0.43,Clearance,149,5,Tue,Spring,0,12,15,-0.008,loss
P100957,LG Fashion Item,Fashion,LG,S010,Amazon Store 10,US-East,259.28,0.36,Flash Sale,318,11,Fri,Fall,1,40,55,0.0,low
P100230,L'Oreal Grocery Item,Grocery,L'Oreal,S031,Amazon Store 31,EU,31.74,0.35,Flash Sale,107,4,Sun,Spring,0,55,73,0.208,medium
P100118,HP Electronics Item,Electronics,HP,S005,Amazon Store 5,UK,534.48,0.0,No Promotion,141,5,Wed,Spring,0,10,20,0.362,high
P100258,AmazonBasics Beauty Item,Beauty,AmazonBasics,S023,Amazon Store 23,Canada,159.55,0.18,Holiday,76,3,Thu,Winter,0,32,65,0.377,high
P100345,L'Oreal Sports Item,Sports,L'Oreal,S002,Amazon Store 2,US-East,60.03,0.0,No Promotion,9,1,Tue,Winter,0,10,14,0.42,high
P100579,Adidas Beauty Item,Beauty,Adidas,S045,Amazon Store 45,UK,66.38,0.0,No Promotion,196,7,Sun,Summer,0,9,11,0.443,high
P100152,L'Oreal Fashion Item,Fashion,L'Oreal,S010,Amazon Store 10,US-East,190.27,0.0,No Promotion,295,10,Fri,Fall,0,28,47,0.347,high
P100679,Adidas Sports Item,Sports,Adidas,S010,Amazon Store 10,US-East,207.94,0.0,No Promotion,280,10,Mon,Fall,0,61,88,0.475,high
P101128,Dell Fashion Item,Fashion,Dell,S020,Amazon Store 20,Canada,129.27,0.3,Flash Sale,118,4,Thu,Spring,0,24,44,0.042,low
P100507,Dell Sports Item,Sports,Dell,S037,Amazon Store 37,EU,37.24,0.0,No Promotion,290,10,Tue,Fall,0,23,32,0.369,high
P100623,Dell Electronics Item,Electronics,Dell,S049,Amazon Store 49,US-East,386.79,0.4,Clearance,61,3,Tue,Winter,1,23,52,0.12,low
P100323,Nike Beauty Item,Beauty,Nike,S018,Amazon Store 18,Canada,175.71,0.0,No Promotion,335,12,Sun,Fall,0,18,27,0.349,high
P100317,L'Oreal Grocery Item,Grocery,L'Oreal,S001,Amazon Store 1,US-East,6.25,0.0,No Promotion,306,11,Thu,Fall,0,9,20,0.234,medium
P100733,L'Oreal Sports Item,Sports,L'Oreal,S037,Amazon Store 37,EU,231.0,0.0,No Promotion,51,2,Thu,Winter,1,15,32,0.344,high
P100914,Sony Grocery Item,Grocery,Sony,S021,Amazon Store 21,UK,16.1,0.0,No Promotion,52,2,Tue,Winter,0,24,51,0.451,high
P100049,Apple Beauty Item,Beauty,Apple,S021,Amazon Store 21,UK,19.09,0.44,Clearance,122,5,Fri,Spring,1,6,11,-0.23,loss
P100200,Dell Electronics Item,Electronics,Dell,S012,Amazon Store 12,Canada,1251.69,0.0,No Promotion,167,6,Mon,Spring,1,11,25,0.201,medium
P100363,Samsung Electronics Item,Electronics,Samsung,S040,Amazon Store 40,EU,1354.0,0.0,No Promotion,8,1,Sun,Winter,1,50,82,0.496,high
P100448,Samsung Home Item,Home,Samsung,S041,Amazon Store 41,US-West,20.09,0.05,Seasonal,45,2,Fri,Winter,1,35,81,0.188,medium
P100250,HP Beauty Item,Beauty,HP,S008,Amazon Store 8,US-West,185.3,0.0,No Promotion,344,12,Sat,Fall,0,23,34,0.364,high
P101155,L'Oreal Sports Item,Sports,L'Oreal,S041,Amazon Store 41,US-West,171.93,0.41,Clearance,245,9,Wed,Summer,0,19,32,-0.266,loss
P101120,Nike Electronics Item,Electronics,Nike,S016,Amazon Store 16,EU,879.92,0.34,Flash Sale,284,10,Wed,Fall,0,11,13,0.239,medium
P100429,Apple Fashion Item,Fashion,Apple,S041,Amazon Store 41,US-West,201.76,0.0,No Promotion,107,4,Wed,Spring,0,58,127,0.314,high
